dataset,k,config,rep,runtime_ms,candidates_explored,closure_checks
processed_data/liquor_11frequent_uncertain.txt,1000,NO_G2_item,1,52377,553,1635
processed_data/liquor_11frequent_uncertain.txt,1000,NO_G2_item,2,52707,553,1635
processed_data/liquor_11frequent_uncertain.txt,1000,NO_G3_upbound,0,52274,553,1635
processed_data/liquor_11frequent_uncertain.txt,1000,NO_G3_upbound,1,51687,553,1635
processed_data/liquor_11frequent_uncertain.txt,1000,NO_G3_upbound,2,52418,553,1635
processed_data/liquor_11frequent_uncertain.txt,1000,NO_G4_tidset,0,49653,553,1635
processed_data/liquor_11frequent_uncertain.txt,1000,NO_G4_tidset,1,49096,553,1635
processed_data/liquor_11frequent_uncertain.txt,1000,NO_G4_tidset,2,50094,553,1635
processed_data/liquor_11frequent_uncertain.txt,1000,ONLY_G1,0,58861,553,1635
processed_data/liquor_11frequent_uncertain.txt,1000,ONLY_G1,1,60016,553,1635
processed_data/liquor_11frequent_uncertain.txt,1000,ONLY_G1,2,59819,553,1635
processed_data/liquor_11frequent_uncertain.txt,1000,ONLY_G2_G3_G4,0,39188,1995,6021
processed_data/liquor_11frequent_uncertain.txt,1000,ONLY_G2_G3_G4,1,43969,1995,6021
processed_data/liquor_11frequent_uncertain.txt,1000,ONLY_G2_G3_G4,2,99124,1995,6021
