dataset,k,config,rep,runtime_ms,candidates_explored,closure_checks
processed_data/chess_uncertain.txt,20,ONLY_G2_G3_G4,1,7147,166,241
processed_data/chess_uncertain.txt,20,ONLY_G2_G3_G4,2,7137,166,241
processed_data/chess_uncertain.txt,30,FULL,0,3018,24,53
processed_data/chess_uncertain.txt,30,FULL,1,3035,24,53
processed_data/chess_uncertain.txt,30,FULL,2,3039,24,53
processed_data/chess_uncertain.txt,30,NO_G1_frontier,0,13011,393,468
processed_data/chess_uncertain.txt,30,NO_G1_frontier,1,12784,393,468
processed_data/chess_uncertain.txt,30,NO_G1_frontier,2,12685,393,468
processed_data/chess_uncertain.txt,30,NO_G2_item,0,3138,24,53
processed_data/chess_uncertain.txt,30,NO_G2_item,1,3179,24,53
processed_data/chess_uncertain.txt,30,NO_G2_item,2,3115,24,53
processed_data/chess_uncertain.txt,30,NO_G3_upbound,0,3222,24,53
processed_data/chess_uncertain.txt,30,NO_G3_upbound,1,3218,24,53
processed_data/chess_uncertain.txt,30,NO_G3_upbound,2,3234,24,53
processed_data/chess_uncertain.txt,30,NO_G4_tidset,0,3118,24,53
processed_data/chess_uncertain.txt,30,NO_G4_tidset,1,3157,24,53
processed_data/chess_uncertain.txt,30,NO_G4_tidset,2,3157,24,53
processed_data/chess_uncertain.txt,30,ONLY_G1,0,3390,24,53
processed_data/chess_uncertain.txt,30,ONLY_G1,1,3405,24,53
processed_data/chess_uncertain.txt,30,ONLY_G1,2,3376,24,53
processed_data/chess_uncertain.txt,30,ONLY_G2_G3_G4,0,12986,393,468
processed_data/chess_uncertain.txt,30,ONLY_G2_G3_G4,1,13002,393,468
processed_data/chess_uncertain.txt,30,ONLY_G2_G3_G4,2,12971,393,468
processed_data/chess_uncertain.txt,40,FULL,0,4446,33,72
processed_data/chess_uncertain.txt,40,FULL,1,4470,33,72
processed_data/chess_uncertain.txt,40,FULL,2,4436,33,72
processed_data/chess_uncertain.txt,40,NO_G1_frontier,0,21518,769,844
processed_data/chess_uncertain.txt,40,NO_G1_frontier,1,20972,769,844
processed_data/chess_uncertain.txt,40,NO_G1_frontier,2,21554,769,844
processed_data/chess_uncertain.txt,40,NO_G2_item,0,4622,33,72
processed_data/chess_uncertain.txt,40,NO_G2_item,1,4661,33,72
processed_data/chess_uncertain.txt,40,NO_G2_item,2,4552,33,72
processed_data/chess_uncertain.txt,40,NO_G3_upbound,0,4532,33,72
processed_data/chess_uncertain.txt,40,NO_G3_upbound,1,4541,33,72
processed_data/chess_uncertain.txt,40,NO_G3_upbound,2,4566,33,72
processed_data/chess_uncertain.txt,40,NO_G4_tidset,0,4574,33,72
processed_data/chess_uncertain.txt,40,NO_G4_tidset,1,4592,33,72
processed_data/chess_uncertain.txt,40,NO_G4_tidset,2,4603,33,72
processed_data/chess_uncertain.txt,40,ONLY_G1,0,5305,33,72
processed_data/chess_uncertain.txt,40,ONLY_G1,1,5256,33,72
processed_data/chess_uncertain.txt,40,ONLY_G1,2,5152,33,72
processed_data/chess_uncertain.txt,40,ONLY_G2_G3_G4,0,21550,769,844
processed_data/chess_uncertain.txt,40,ONLY_G2_G3_G4,1,21386,769,844
processed_data/chess_uncertain.txt,40,ONLY_G2_G3_G4,2,21221,769,844
processed_data/chess_uncertain.txt,50,FULL,0,5319,42,91
processed_data/chess_uncertain.txt,50,FULL,1,5348,42,91
processed_data/chess_uncertain.txt,50,FULL,2,5350,42,91
processed_data/chess_uncertain.txt,50,NO_G1_frontier,0,27057,1161,1236
